,class,title
532,Business,Directors also delay decision on first-quarter dividend
533,Business,Zients Finds Sweet Spot
534,Sports,Windies book final against England as Pakistan flop
535,World,NIGERIA: New fuel strike shuts down key cities
536,Business,Regulator Stops Sale Of Thrift
537,Sci/tech,Recommendations to Combat Obesity in Kids (AP)
538,World,Indonesians go to the polls
539,Business,US Airways Flight Attendants Authorize Strike
540,World,France unveils its motorway in the clouds
541,World,Praise the lords
542,World,"Iran, EU Nuke Talks Still Without Agreement"
543,Sci/tech,Correction: Spam-Lawsuit Story (AP)
544,Sci/tech,Selling surveillance - has Blunkett got a deal for &lt;cite&gt;you&lt;/cite&gt;
545,Business,Marsh CEO Says Probe Near End
546,Sci/tech,"Brilliant Digital, Altnet Sue RIAA"
547,Sci/tech,Pictures on the Go
548,Business,Crude Futures Climb Amid OPEC Worries
549,Sports,Olympians out with plenty to prove in NYC Marathon
550,Sports,Fernando plans attacking approach to Shanghai
551,Sports,Bosox try to finish Angels
552,Sci/tech,MPAA Revives P-to-P Lawsuit
553,Sports,Michael Schumacher Crashes in Sao Paulo
554,Sci/tech,The True Measure of Success
555,Sports,"No. 1 Illinois 78, Chicago St. 59"
556,Business,Founders of Pilgrim-Baxter fund settle charges of improper trading
557,World,Howard prepares for bruising election
558,Sports,Tressel:  #39;Allegations Made Against Me Totally False #39;
559,World,"When saving the world with song, mind the lyrics"
560,World,Martial law cools China #39;s ethnic violence
561,World,Vatican returns artifact to Russian church
562,Sci/tech,Internet Vote A Success
563,World,"U.S. Military Deaths in Iraq Pass 1,000 (AP)"
564,Business,Gold Fields loses fourth Harmony case
565,Business,BA boss to work in departures as airline battles staff shortages
566,Business,"IBM settles pension claims, other liability capped"
567,Business,United Technologies May Acquire Larger Stake in Kidde (Update2)
568,Sports,Has Coughlin fired up Giants #39; O-line?
569,Business,Sony Springs From  #39;Spider-Man #39; Web
570,Sports,Ford confirms Jaguar sale to Red Bull
571,Sci/tech,Four Infineon Execs Plead Guilty in DRAM Probe
572,Sci/tech,"Failed European first Mars probe, Beagle 2, still a mystery"
573,World,EU tentatively agrees to lift embargo on Libya (AFP)
574,World,Italy Detects Latest Case of Mad Cow (AP)
575,Sports,Europe Strikes Early Ryder Blow with Charm Offensive
576,Business,Foodland wilts on poor profit outlook
577,Business,US expansion could hurt if savings rise
578,Sci/tech,Recording Industry Files 750 More File-Sharing Lawsuits
579,Business,Vioxx recall spurs FDA overhaul
580,Business,"Unilever stalls, P amp;G surges"
581,World,Early Target of Offensive Is a Hospital
582,Business,Tiger Woods #39; Agents Sold
583,World,Three dead in Israeli air strike in West Bank
584,Sports,Jets' Martin No. 4 on NFL Rushing List (AP)
585,Sports,Singh #39;s record breaking season continues
586,Sports,Bomb threat mars Real Madrid game
587,Sports,Outlaw rejoins Suns; Tabuse on injured list
588,Business,Southwest bids \$117M for ATA assets
589,Sci/tech,An all-new power walk
590,World,Market bomb kills 13 in Philippines
591,World,"Two Russian Planes Crash, Cause Unclear"
592,Sports,Spartans outplayed by George Washington in first round of BB amp;T &lt;b&gt;...&lt;/b&gt;
593,World,Ammunition stolen from British Army in Kenyan training ranges (AFP)
594,World,"In letters to Bush, Kerry, Cuban exiles seek firmer anti-Castro US stance (AFP)"
595,Sports,Olympics: Unforgiving Greeks Boo as Games Turn Ugly
596,Sci/tech,"Flaws threaten Windows, Linux PCs"
597,Sci/tech,HUM.. WHY THE EARTH #39;S SINGING
598,Business,Airbus gets go-ahead to build new airliner
599,Sci/tech,AOL releases Netscape update
600,Sports,Vogts sure side will beat Moldova
601,Business,"Reinventing the Wheel (and the Tire, Too)"
602,Sports,"Read all about it, Rebels tough"
603,Business,Sears Canada sacks chairman-CEO Mark Cohen over  #39;strategic &lt;b&gt;...&lt;/b&gt;
604,World,Suspect in Thai murders contacts police
605,Business,"EU, US Trade Blows Over Plane Agreement"
606,Sports,UEFA approves use of artificial turf
607,Sci/tech,Sprint Nextel Would Be 3rd Largest Carrier (AP)
608,Business,Holiday traveler outlook: no gifts
609,Sci/tech,IBM Releases Speech Technology To Open Source
610,World,"Tokyo Stocks Higher, Dollar Up Vs. Yen (AP)"
611,World,"Parked in a Desert, Waiting Out the Winter of Life"
612,World,Nigerian Oil Delta Peace Talks to Resume After Truce (Reuters)
613,Sci/tech,Australia Faces Weather Blitz from Warming-CSIRO (Reuters)
614,Sci/tech,"Nortel, Under Deep Scrutiny, Now Faces Chinese Competition"
615,Sports,Bonds Still Shy of 700
616,World,San Diego Ballots Would Have Ousted Mayor (AP)
617,Sports,Soriano injured in steal attempt
618,Sci/tech,Reflections On SEMPO
619,Sci/tech,RIM takes new BlackBerry design overseas
620,Sports,Iran Snub to Israel Challenges IOC
621,World,Abu Ghraib prison hit by car bomb
622,Business,US Oct. consumer confidence sinks to 92.8 points -
623,Sports,Safin wins Madrid Masters; Masters Cup spot beckons
624,Sports,Cavs #39; ground game grinds up Tigers
625,Sci/tech,"Henry Ford, AOL Announce Partnership (AP)"
626,Sci/tech,British ruling cheers VoIP industry
627,Sports,Spurs Hold Off Sixers
628,World,Frances hits Florida Panhandle as state begin recovery from initial strike (Canadian Press)
629,World,War On Terror Column
630,Sci/tech,Rovers Get Six More Months To Explore Mars
631,Sports,"Snow, Giants tip Padres"
632,Sci/tech,Huge eagles 'dominated NZ skies'
633,Sci/tech,PeopleSoft Removes Craig Conway as CEO
634,Business,JAIL GETS MAKEOVER
635,World,Rowling reads to gathered fans
636,World,A Push for More Power At Iraq Plant
637,World,Tsunami Victims Prey to Crime from Asia to Europe
638,World,Russians hunt down potential  #39;black widows #39;
639,Business,Hurricanes lead to spike in jobless claims
640,World,Appeals to Blair over UK hostage in Iraq
641,Sci/tech,Japanese experts develop 3D communication technology
642,World,Ape Learning Center Welcoming 'Students'
643,Sports,"Chelsea have destroyed me, complains Mutu"
644,Sci/tech,Apple Plans EU Expansion of iTunes Next Month (Reuters)
645,Sci/tech,PayPal Getting Back to Normal after Outage
646,Business,Problems found in auditing industry 
647,World,Blunkett #39;s plans for tougher terror laws
648,World,"India, Pakistan discuss joint project, Kashmir"
649,World,Gurkhas win UK citizenship rights
650,Business,Cingular Buyout of AT amp;T Wireless Wins Approval
651,Business,Qantas Not Lifting Fuel Surcharge On Tickets - CEO
652,Sports,Tennis: 3 Seeded Players Knocked Out of Wismilak Tournament
653,World,"Omar escapes bid on life, one killed"
654,Sci/tech,Florida likely to get hit again
655,Business,Liquidator focuses on client money
656,Sci/tech,Where Only the Antelope Roam
657,World,RP bet in top 5 in Miss World; Peruvian wins
658,Sci/tech,FTC Assesses Bounty System for Catching Spammers
659,World,Guantanamo hearing postponed
660,Sci/tech,Global Chip Gear Sales Seen Down 5.15 Pct in 2005
661,Sci/tech,Hello Canada!
662,World,Boxing: Rumble in jungle recalled
663,Sci/tech,Smart or Misguided? The Proactive Doctor
664,Business,Paying for a Storm That Passed in 1992
665,World,Candidates Officially Request Ohio Recount (AP)
666,Business,Slowdown in growth caps worst week for the Euro-zone
667,World,American Hostage  #39;Beheaded #39;
668,Sports,FOOTBALL: REDS FANS MUST FEAR A GERRARD KOP-OUT
669,Sci/tech,Pre-Human Walked Upright 6 Million Years Ago -Study
670,Business,Energizer CEO Paul Mulcahy to Retire
671,World,A Record Increase of 17 Percent Is Set for Premiums in Medicare
672,World,Arafat Relative Escapes Gaza Bomb Blast
673,Sports,Mariners send journeyman lefty Williams to Padres
674,Sci/tech,Pesticide Persisting Beyond Scheduled Elimination Date
675,Sports,Australia edge England in Cook Cup thriller
676,Business,GEICO vs Google Ads: Google Wins
677,World,Envoy Chides Darfur Negotiators for Lack of Urgency
678,Sports,"Giggs, Scholes Back on Goal Trail to Give United Win"
679,Business,Lowe's Net Income Up 18 Percent
680,Business,Google Desktop privacy branded  #39;unacceptable #39;
681,World,Deadly Ivan Slams Appalachian Region
682,World,UN report: Lubbers guilty of sexual misconduct
683,Business,Microsoft settles two big fights
684,Sports,Horna scores upset win over Ferrero
685,Business,Netflix Braces for Amazon
686,Business,"Before-the-Bell: Synopsys, DeVry Fall"
687,World,Bomb Explosion in Nepal #39;s Capital Wounds 38
688,Sports,Memphis Grizzlies Team Report - November 15
689,Sports,Bronze is golden to Methuen's Pedro
690,World,Extremists gain in Eastern Germany
691,Sports,Illinois Fighting Illini
692,World,Iraq War Foes Focus on Alternative Agenda to Bush (Reuters)
693,World,Update 3: Japan Revises April-June GDP Data Down
694,Sci/tech,"Novell lays out infrastructure, identity wares"
695,Sports,McGrath steals thunder
696,World,Germans grumpy 15 years after wall #39;s fall
697,Business,Oil Prices Break \$50 Milestone
698,Business,US share prices skid on record oil price
699,Business,Brinker International reports first-quarter income drop
700,World,Major Quake Shakes Philippine Capital
701,Sci/tech,Nokia woos the business market
702,Business,Unocal to Settle Lawsuits Over Myanmar Abuse
703,Sci/tech,Sun Launches Free Solaris 10 With Tiered Subscriptions
704,Sci/tech,RFID Deadlines Intensify Need To Manage Product Information
705,Sci/tech,Web power to the people
706,Business,Dollar Dips as Market Tests Recovery (Reuters)
707,Sci/tech,Call of the mild
708,Sci/tech,Europe gets first  #39;better than 3G #39; mobile trial
709,Sports,UPDATE 1-Cricket-India call up Tendulkar for Australia tests
710,Sci/tech,Google Takes On Your Desktop
711,Sports,All things possible for McDermott
712,Business,Global Markets: U.S. Treasuries Pare Gains
713,Business,EEOC Files Suit Against English Fluency Policy
714,World,Iraqi Election Set for Jan. 30
715,World,Berlusconi Says Will Sacrifice Buttiglione
716,World,US pledges more aid to Nigeria to fight HIV-AIDS (AFP)
717,Business,SEC Orders Fannie Mae to Restate
718,Business,"UPDATE: Wary Of Watchdog, Coke #39;s Amatil Turns to Fruit"
719,Business,Xstrata makes play for WMC
720,World,Religious Forum in Indonesia Aims to Blunt Radicals
721,World,"Ivan Slams Appalachian Region, Kills 12"
722,Business,Toyota to Make Hybrid Cars in China
723,Sports,"UPDATE 1-Blackburn chance too good to miss, says Hughes"
724,World,EU nations slam Tiger rebels as fresh killings dim Sri Lanka peace hopes (AFP)
725,Business,UBS to buy Schwab #39;s capital markets unit for \$265mn
726,Sci/tech,Cisco dangles rebate carrot before resellers
727,Sci/tech,O2 unveils two new XDA models
728,World,"Aziz Wins Pakistan Polls, Paving Way to Be PM (Reuters)"
729,Business,TPV buys Philips PC monitor business
730,Business,Osmond buys life funds for 1bn
731,Sci/tech,Microsoft Makes a Play for Novell Users
732,Business,Indians fill rail skills shortage
733,Sports,Jets' Josh Evans Out With Back Injury (AP)
734,World,Powell warning
735,Sports,"ND, Weis are ready to talk"
736,Sci/tech,Trojan spams Russian mobile phones
737,World,"Indonesian extremists influence Thai Muslims, prime minister says &lt;b&gt;...&lt;/b&gt;"
738,World,Area Marine aids in Fallujah restoration
739,Sci/tech,UK takes Linux to the heart of government
740,Sci/tech,Studios line up behind competing new DVDs
741,Business,News Corp Posts Strong Results Ahead of US Move
742,World,"Panel Probes Afghan Poll Fraud, Counting Delayed"
743,Business,Branson promises travellers new price war on London to Sydney air &lt;b&gt;...&lt;/b&gt;
744,Sports,Injuries starting to mount for hapless 49ers
745,Sports,Red Sox Rally to Drop Orioles 8-3 (AP)
746,Sci/tech,Trojans begin spam assault on cellphones
747,Sci/tech,"Apache, open-source groups wary of Sender ID"
748,Sci/tech,Serbs #39; Darwinian battle
749,Business,"US Airways, pilots at impasse"
750,Sports,NBA Game Summary - Denver at Houston
751,Business,"UPDATE 1-US top court lets stand Visa, MasterCard ruling"
752,Business,Fed Decision Unlikely to Spur Rally
753,Sports,Sports: Brewers 7 Cardinals 6
754,World,N.Y. Welcomes Protesters With Discounts (AP)
755,Business,US mobile giants Sprint and Nextel to merge
756,Sports,Carney leads No. 24 Tigers into final
757,Sports,Ryder Cup drama on the horizon
758,Sports,Rangers Beat Staggering Orioles 6-4 (AP)
759,Sports,Injury threatens Moss streak
760,Sports,Schilling coming to Verizon with President Bush
761,Business,Lowe's Reports 18 Pct. Hike in Profits
762,Business,Midwest Business Growth at Slower Pace (Reuters)
763,Business,"Jet Demand, IT Propel Lockheed Profit Up"
764,Sci/tech,Keyword Trademark Infringements
765,Sci/tech,Google SMS - Great for Google and Users Too
766,Sports,Golf: Cink in command in winning NEC Invitational
767,Sports,Fichardt and Broadhurst Lead Madrid Open (AP)
768,World,"Ivan Rattles Gulf Coast, Leaves 35 Dead"
769,World,Mbeki tries to restore calm in Ivory Coast
770,World,Aus Iraq patrol attacked for first time
771,Business,Orca Interactive plans AIM flotation
772,Sports,Sports: Browns 34 Bengals 17
773,Business,Is It Still Called a Venture Fund When You Use Your Own Money?
774,Business,Viacom in China Tie-Up with Beijing TV (Reuters)
775,World,IAEA chief arrives in South Korea amid concerns over nuclear &lt;b&gt;...&lt;/b&gt;
776,Sports,Colts outclass Bears in one-sided track meet
777,Sci/tech,Simple Kidney Test Predicts Heart Death
778,Sports,City prepared to sell 5million Anelka in the New Year
779,Sports,Gophers are golden again
780,Business,American Axle Cuts 2004 Earnings Forecast
781,World,Venezuela's Chavez Vows Tougher Land Reform
782,World,Chief of Army to investigate KKK scandal
783,World,Ivory Coast overturns candidacy rule
784,Sci/tech,Bill Gates Inundated with Spam
785,Sci/tech,Microsoft gets a fashion makeover
786,Sci/tech,Cisco target of patent lawsuit
787,Business,"Troubled airline still flies, but how long?"
788,World,Myanmar military ruler says democracy only option (Reuters)
789,World,"Royal Bank clerks asked to display rainbow stickers to support gays, bisexuals (Canadian Press)"
790,Sci/tech,Wireless network smashes world speed record
791,Sports,Lanka set Pak historic target of 418 to win
792,Sci/tech,"Sun Changes Course, Releases First NAS Box"
793,World,Wave machine Hurricane Ivan produces Caribbean swell
794,World,Jordanian employer of hostage agrees to pull out of Iraq
795,Business,Three Picks For A Communications Rebound
796,World,The US Approach to Climate Change
797,Business,Mass. Electric seeks 10 rate hike
798,Business,Stocks Are Mixed on Greenspan's Testimony
799,Business,Oil Steady as Ivan Balances OPEC Hike
800,Business,China needs to invest \$120 bn in power generation
801,World,Fire in Ohio Apartment Building Kills 8
802,Business,"US Factory Orders, Jobless Claims Up"
803,Business,Target Bell-Ringer Ban Will Cost Salvation Army Millions
804,Sci/tech,The worst sides of two nations on display
805,Business,Lazard cutbacks may precede IPO
806,Business,HP rolls out new consumer electronics
807,Business,Tech Stocks Rise; Oil Prices Boost Sector
808,World,First Hizbollah drone enters Israeli airspace
809,Business,Sensitivity wins for News Corp
810,World,"Iraq's Chalabi Escapes Assassination, Arrest"
811,World,Basque separatists signal end to 35 years of conflict
812,World,Palestinians to See Arafat Despite Wife's Fury
813,Sports,Oldest man dies at 113
814,Sports,European Ryder Cup team returns; Langer leans toward stepping down
815,Business,US Chamber Asks Court to Overturn Rule on Mutual Fund Boards
816,World,U.S. Court Dismisses Suit Against Zimbabwe Rulers
817,Business,Oil Prices Rise to High As Demand Continues
